timestamp,lane
12.456,1
15.532,4
18.609,2
21.686,2
24.763,2
25.917,3
27.071,3
28.225,2
29.379,3
30.148,3
30.724,3
30.82,3
30.917,3
31.3,3
33.994,3
35.749,3
35.989,3
36.134,3
36.254,3
36.374,3
36.446,3
36.518,3
36.566,3
36.59,3
36.614,3
36.626,3
36.638,3
36.65,3
36.662,3
36.674,3
36.686,4
37.071,1
37.456,2
37.84,2
38.994,3
39.379,4
40.917,3
41.687,2
42.456,3
43.225,3
43.61,4
43.994,4
45.148,4
45.533,3
46.302,4
46.687,4
47.071,4
47.456,3
47.84,3
48.225,3
48.609,3
48.994,3
49.379,2
49.763,1
50.148,2
50.533,2
50.917,2
51.302,2
51.687,2
52.071,2
52.456,3
52.841,3
53.225,3
53.61,4
53.995,4
54.379,4
54.763,3
55.437,3
55.533,3
57.071,1
58.609,3
58.705,3
61.686,1
61.878,4
67.839,3
73.994,4
77.071,4
77.84,2
78.608,2
79.377,3
80.147,2
83.224,2
86.301,1
89.378,2
89.571,4
89.763,4
90.147,2
90.916,3
91.685,4
92.07,3
92.262,1
92.454,3
92.479,3
96.301,2
97.07,4
97.839,2
98.609,1
98.609,1
98.801,3
98.801,3
98.993,4
99.378,4
100.147,4
100.916,4
101.109,4
101.205,4
101.301,4
101.493,3
101.685,3
101.878,3
102.455,3
103.224,3
103.993,3
104.378,3
104.474,3
104.57,3
104.762,2
104.955,1
105.532,1
106.301,1
107.07,1
107.263,1
107.359,1
107.455,1
107.647,2
107.839,2
108.032,2
108.609,2
109.378,2
110.147,2
110.532,1
110.628,1
110.724,1
110.916,2
110.916,3
111.685,3
111.685,2
112.455,2
112.455,3
113.224,2
113.32,2
113.416,3
113.512,3
113.993,3
113.993,3
114.378,2
114.378,2
114.763,2
114.763,2
115.147,3
115.147,3
115.532,4
115.532,4
115.916,3
115.916,3
116.301,1
116.301,1
116.685,1
116.974,2
117.07,2
117.07,2
117.262,3
117.455,3
117.647,3
117.839,4
117.839,4
118.031,4
118.224,4
118.416,4
118.609,4
118.609,4
118.801,4
118.994,3
119.186,3
119.378,2
119.378,2
119.57,2
119.763,2
119.955,2
120.147,2
120.243,2
120.339,2
120.532,4
120.628,4
120.724,4
120.916,4
121.012,4
121.108,4
121.301,2
121.397,2
121.493,2
121.685,1
121.685,1
121.781,1
121.781,1
121.877,1
121.877,1
121.973,1
121.973,1
122.069,1
122.069,1
122.165,1
122.165,1
122.261,1
122.261,1
122.359,1
122.359,1
122.455,1
122.455,1
122.551,1
122.551,1
122.647,1
122.647,2
122.743,1
122.743,2
122.839,2
123.225,2
123.61,2
123.898,3
124.185,2
124.379,4
124.763,4
125.148,1
125.435,3
125.725,2
125.917,4
126.302,4
126.685,2
126.975,4
127.263,2
127.456,1
127.84,1
128.033,2
128.225,1
128.513,1
128.802,2
128.994,1
129.09,1
129.379,1
129.571,3
129.763,4
130.052,3
130.34,4
130.533,4
130.725,4
130.917,4
131.302,3
131.59,4
131.878,2
132.07,1
132.455,1
132.839,1
133.128,2
133.416,2
133.512,2
133.609,2
133.897,3
134.185,4
134.25,4
134.314,4
134.378,4
134.666,4
134.955,4
135.147,4
135.435,3
135.531,3
135.915,3
136.204,2
136.492,3
136.684,1
137.069,1
137.454,2
137.742,4
137.934,2
138.223,2
138.607,1
138.992,3
139.281,4
139.569,4
139.761,3
139.954,4
140.146,3
140.338,2
140.531,1
140.819,1
141.107,1
141.3,1
141.684,1
141.877,1
142.069,2
142.357,1
142.646,3
142.838,2
143.223,2
143.607,3
143.896,4
144.184,4
144.281,4
144.377,4
144.665,4
144.761,4
145.146,3
145.434,2
145.723,2
145.819,2
145.915,2
146.204,3
146.492,2
146.556,2
146.62,2
146.684,2
146.973,1
147.261,4
147.454,4
147.551,4
147.646,4
147.743,4
147.839,3
148.319,4
148.607,1
148.896,1
149.376,1
149.761,1
149.857,1
150.144,3
150.434,3
150.915,3
151.395,4
151.684,4
151.972,4
152.165,4
152.453,3
152.549,3
152.645,3
152.933,1
153.222,1
153.607,3
153.991,1
154.472,1
154.761,4
155.049,4
155.529,4
155.913,4
156.009,4
156.297,2
156.585,2
157.066,2
157.836,3
160.142,1
160.623,1
160.912,3
161.2,2
161.68,2
162.065,4
162.161,4
162.449,3
162.738,2
163.224,1
163.704,1
163.993,1
164.281,1
164.474,1
164.762,2
164.858,2
164.953,2
165.242,3
165.53,4
165.916,4
166.3,2
166.781,1
167.069,1
167.357,1
167.835,1
168.222,4
168.318,4
168.606,2
168.895,4
169.377,3
170.146,3
170.146,3
170.915,4
172.453,1
172.837,1
173.221,1
173.606,1
173.99,1
174.374,1
174.76,1
174.952,2
175.144,3
175.24,3
175.531,4
175.723,4
175.917,2
176.301,2
176.686,3
177.07,3
177.455,2
177.838,2
178.03,3
178.222,4
178.607,4
178.991,4
179.375,4
179.76,4
180.144,4
180.529,4
180.914,4
181.106,3
181.298,2
181.394,2
181.683,1
181.875,1
182.067,1
182.259,1
182.452,1
182.644,1
182.836,1
183.029,1
183.221,1
183.414,1
183.606,1
183.798,1
183.99,1
184.182,1
184.375,1
184.567,1
184.758,3
185.144,1
186.298,1
187.452,1
187.836,2
188.99,3
190.144,4
190.913,4
191.683,3
192.452,2
193.606,1
194.183,1
194.375,1
194.76,1
195.144,1
195.529,1
195.913,1
196.298,1
196.682,1
197.067,2
207.836,3
215.336,3
216.297,3
217.258,2
218.508,3
219.181,3
220.047,3
224.277,1
225.142,1
